Band_1	Band_2	Band_3	Band_4	Band_5	Band_6	Band_7
975	1383	1870	2841	3475	2919	3171
1393	1883	2328	3410	3848	3154	3313
306	584	355	4152	1867	727	2537
285	428	257	3584	1463	541	2487
397	643	505	3506	2211	962	2637
285	450	257	3356	1463	515	2436
285	428	277	3213	1438	568	2436
555	1032	1042	4734	2367	1043	2979
324	505	363	3089	1486	567	2587
576	989	1004	4648	2316	1043	2931
306	405	238	3528	1438	515	2487
359	500	360	3179	1362	541	2537
267	408	259	3153	1363	515	2436
890	1339	1870	2898	3375	2708	3027
447	657	790	2777	2844	1491	3075
481	665	544	3619	2211	989	2637
490	657	809	2806	2819	1465	3027
376	720	455	4209	2069	833	2637
1062	1449	1793	3037	4548	3705	3266
437	664	523	3677	2287	1041	2637
398	698	474	4265	2119	806	2637
262	361	217	3242	1389	568	2487
511	614	790	2806	2819	1465	3027
285	428	217	3242	1463	568	2436
419	698	474	4379	2069	833	2587
354	630	395	4095	1917	727	2487
306	473	296	3356	1590	621	2487
953	1339	1794	2841	3601	2893	3123
328	517	296	3498	1590	594	2487
262	405	257	3327	1489	621	2436
1253	1685	1959	2939	3687	3195	3500
419	653	416	4575	2169	859	2537
470	635	867	2663	3068	1702	3123
336	478	300	3578	1563	647	2487
398	698	396	4321	1968	780	2537
317	480	283	3377	1512	594	2537
285	450	277	3669	1665	594	2436
447	657	829	2835	2919	1544	3075
470	635	770	2749	2819	1570	3027
469	635	829	2749	2869	1597	3027
284	360	198	2669	1212	515	2436
328	428	238	3299	1463	568	2436
890	1185	1659	2554	3500	2919	3171
396	642	485	3478	2337	1068	2637
306	427	296	3185	1413	541	2537
289	407	258	2840	1313	541	2436
262	382	238	3385	1489	541	2436
240	315	237	1918	833	357	2436
490	680	867	2864	2969	1597	3075
1312	1710	2099	3267	3473	2601	3266
285	494	277	3327	1741	700	2436
285	450	277	3299	1590	594	2487
328	473	394	2898	1338	515	2587
285	539	296	3270	1161	410	2537
306	405	277	3185	1438	568	2436
935	1340	1658	2951	4322	3468	3171
306	428	277	3155	1489	594	2436
327	404	256	2265	1161	488	2487
315	456	321	2950	1388	515	2537
377	653	396	4378	2018	753	2637
306	450	277	3584	1590	568	2436
348	516	296	3811	1665	594	2487
262	450	277	3441	1590	568	2436
517	860	754	4469	2263	1016	2637
285	405	257	3270	1463	594	2436
284	382	257	2582	1262	488	2436
975	1317	1756	2812	3576	2946	3075
305	493	296	3755	1413	541	2436
556	1012	1004	4508	2291	1017	2931
326	472	316	3811	1514	541	2436
672	895	1137	2265	3224	2497	3075
326	449	256	3698	1514	621	2436
322	460	362	2748	1461	594	2637
634	786	1021	1947	3073	2417	3218
285	428	257	3270	1413	568	2436
285	494	317	3013	1111	437	2537
490	657	887	2835	2993	1570	3075
306	428	277	3385	1514	541	2487
437	642	524	3535	2362	1147	2637
561	903	832	4496	2263	963	2637
240	404	296	2496	1187	463	2487
285	405	198	3242	1514	594	2436
305	472	335	3612	1590	568	2436
538	837	695	4329	2188	989	2686
285	450	257	3185	1539	594	2487
328	562	394	3127	1791	727	2537
398	631	435	4575	2094	833	2487
245	430	279	3068	1363	594	2436
358	478	359	3236	1613	673	2487
285	494	277	3528	1514	568	2436
262	405	198	3155	1389	463	2436
284	472	296	3698	1665	541	2436
325	484	345	2945	1461	541	2537
262	428	257	3127	1489	594	2436
493	836	675	4530	2189	963	2637
293	455	300	3066	1312	515	2487
326	472	316	3783	1463	488	2436
335	455	320	3522	1488	515	2487
438	665	524	3562	2286	1041	2686
973	1273	1524	3154	2973	2179	3027
267	408	259	3182	1363	568	2436
285	494	336	3099	1262	488	2537
1642	2142	2669	3553	3924	3417	3313
597	1054	1022	4734	2392	1043	2979
306	494	355	3155	1212	463	2587
1459	1970	2461	3239	3348	2706	3218
376	653	416	4407	2069	727	2637
366	504	422	3061	1864	779	2637
537	837	695	4330	2289	1042	2686
306	494	355	3127	1389	594	2537
461	688	564	3277	2386	1041	2735
262	405	217	3099	1338	488	2436
469	657	809	2692	2970	1597	3075
327	473	296	3185	1389	515	2537
285	428	277	3327	1438	488	2436
397	653	435	4293	2094	833	2686
783	1075	1369	2554	3325	2629	3171
419	630	455	4265	2044	833	2637
311	453	298	3153	1438	541	2436
327	441	327	3002	1561	646	2537
618	1032	1003	4678	2367	1070	2931
290	453	299	3267	1463	541	2436
328	584	414	3783	2069	833	2637
1171	1535	1883	2965	3535	3036	3500
1274	1728	1959	2996	3536	3142	3546
446	634	867	2806	3119	1650	3075
327	404	316	2726	1237	515	2487
274	457	322	3263	1563	673	2487
911	1162	1563	2755	3400	2629	3123
396	686	562	3676	2337	1041	2637
332	475	298	3040	1413	541	2386
496	838	676	4469	2213	1016	2686
262	428	257	3470	1539	515	2436
305	427	277	3641	1590	594	2386
915	1252	1485	3037	4122	3126	3171
305	472	316	3641	1766	727	2487
540	970	870	4467	2187	1042	2686
762	1030	1369	2438	3500	2946	3171
932	1207	1717	2812	3751	2840	3123
890	1229	1640	2611	3777	3103	3123
372	494	433	2870	1463	621	2587
285	428	277	3213	1463	541	2436
306	517	375	3185	1413	568	2537
262	428	217	3270	1463	568	2487
326	472	335	3698	1564	541	2436
345	461	326	3060	1511	620	2587
537	859	715	4302	2213	1016	2686
327	450	296	3413	1438	515	2587
326	472	296	3755	1716	674	2436
447	614	867	2748	2919	1570	3075
306	494	355	3413	1741	700	2537
285	494	394	3013	1237	463	2537
890	1162	1583	2582	3551	2946	3075
262	473	257	3413	1489	541	2436
576	1055	1061	4706	2367	1070	2979
372	607	375	4435	1943	753	2537
241	405	198	3213	1489	621	2436
306	450	316	3099	1438	568	2487
262	428	277	3327	1539	568	2487
262	473	336	3099	1212	488	2537
306	450	277	3213	1438	541	2436
469	657	887	2806	3019	1623	3075
326	493	316	3897	1665	674	2487
318	480	303	3376	1613	567	2537
469	657	809	2805	2844	1517	3075
994	1316	1562	2983	3173	2337	3027
1498	1969	2403	3637	3774	3127	3218
953	1339	1852	2812	3400	2840	3171
285	494	317	3127	1187	488	2537
267	385	259	3211	1338	515	2436
495	837	695	4247	2239	1042	2686
332	430	279	2953	1388	541	2386
262	450	277	3498	1615	621	2436
306	450	277	3413	1590	621	2386
332	408	240	3040	1262	437	2436
418	643	524	3534	2286	1094	2686
1271	1646	2022	3152	3297	2521	3171
306	428	257	3099	1364	437	2436
306	428	257	3013	1514	515	2386
325	462	345	2861	1486	567	2537
